========================================================================
DATA CLEANING SUMMARY
========================================================================
Generated : 2026-06-03 00:51:14

Dataset                           Input     Output    Dupes
---------------------------- ---------- ---------- --------
01_fund_master                       40         40        0
02_nav_history                   46,000     46,000        0
03_aum_by_fund_house                 90         90        0
04_monthly_sip_inflows               48         48        0
05_category_inflows                 144        144        0
06_industry_folio_count              21         21        0
07_scheme_performance                40         40        0
08_investor_transactions         32,778     32,778        0
09_portfolio_holdings               322        322        0
10_benchmark_indices              8,050      8,050        0

Processed files written to: C:\repo\Mutual_Fund_Analysis\data\processed
